"Date","Price","Open","High","Low","Vol.","Change %"
"22-05-2024","22,597.80","22,576.60","22,629.50","22,483.15","290.35B","0.31%"
"21-05-2024","22,529.05","22,404.55","22,591.10","22,404.55","347.59B","0.12%"
"18-05-2024","22,502.00","22,512.85","22,520.25","22,470.05","19.06B","0.16%"
"17-05-2024","22,466.10","22,415.25","22,502.15","22,345.65","242.65B","0.28%"
"16-05-2024","22,403.85","22,319.20","22,432.25","22,054.55","368.95B","0.92%"
"15-05-2024","22,200.55","22,255.60","22,297.55","22,151.75","231.94B","-0.08%"
"14-05-2024","22,217.85","22,112.90","22,270.05","22,081.25","230.24B","0.51%"
"13-05-2024","22,104.05","22,027.95","22,131.65","21,821.05","278.19B","0.22%"
"10-05-2024","22,055.20","21,990.95","22,131.30","21,950.30","265.80B","0.44%"
"09-05-2024","21,957.50","22,224.80","22,307.75","21,932.40","331.33B","-1.55%"
"08-05-2024","22,302.50","22,231.20","22,368.65","22,185.20","277.44B","0.00%"
"07-05-2024","22,302.50","22,489.75","22,499.05","22,232.05","297.82B","-0.62%"
"06-05-2024","22,442.70","22,561.60","22,588.80","22,409.45","320.26B","-0.15%"
"03-05-2024","22,475.85","22,766.35","22,794.70","22,348.05","438.06B","-0.76%"
"02-05-2024","22,648.20","22,567.85","22,710.50","22,567.85","445.91B","0.19%"
"30-04-2024","22,604.85","22,679.65","22,783.35","22,568.40","361.86B","-0.17%"
"29-04-2024","22,643.40","22,475.55","22,655.80","22,441.90","291.96B","1.00%"
"26-04-2024","22,419.95","22,620.40","22,620.40","22,385.55","329.89B","-0.67%"
"25-04-2024","22,570.35","22,316.90","22,625.95","22,305.25","475.04B","0.75%"
"24-04-2024","22,402.40","22,421.55","22,476.45","22,384.00","235.90B","0.15%"
"23-04-2024","22,368.00","22,447.05","22,447.55","22,349.45","231.52B","0.14%"
"22-04-2024","22,336.40","22,336.90","22,375.65","22,198.15","279.26B","0.86%"
"19-04-2024","22,147.00","21,861.50","22,179.55","21,777.65","362.53B","0.69%"
"18-04-2024","21,995.85","22,212.35","22,326.50","21,961.70","456.91B","-0.69%"
"16-04-2024","22,147.90","22,125.30","22,213.75","22,079.45","317.27B","-0.56%"
"15-04-2024","22,272.50","22,339.05","22,427.45","22,259.55","355.47B","-1.10%"
"12-04-2024","22,519.40","22,677.40","22,726.45","22,503.75","357.19B","-1.03%"
"10-04-2024","22,753.80","22,720.25","22,775.70","22,673.70","276.85B","0.49%"
"09-04-2024","22,642.75","22,765.10","22,768.40","22,612.25","232.36B","-0.10%"
"08-04-2024","22,666.30","22,578.35","22,697.30","22,550.35","227.63B","0.68%"
"05-04-2024","22,513.70","22,486.40","22,537.60","22,427.60","242.24B","0.00%"
"04-04-2024","22,514.65","22,592.10","22,619.00","22,303.80","400.99B","0.36%"
"03-04-2024","22,434.65","22,385.70","22,521.10","22,346.50","309.65B","-0.08%"
"02-04-2024","22,453.30","22,458.80","22,497.60","22,388.15","289.52B","-0.04%"
"01-04-2024","22,462.00","22,455.00","22,529.95","22,427.75","243.64B","0.61%"
"28-03-2024","22,326.90","22,163.60","22,516.00","22,163.60","410.53B","0.92%"
"27-03-2024","22,123.65","22,053.95","22,193.60","22,052.85","409.14B","0.54%"
"26-03-2024","22,004.70","21,947.90","22,073.20","21,947.55","328.40B","-0.42%"
"22-03-2024","22,096.75","21,932.20","22,180.70","21,883.30","388.66B","0.39%"
"21-03-2024","22,011.95","21,989.90","22,080.95","21,941.30","353.17B","0.79%"
"20-03-2024","21,839.10","21,843.90","21,930.90","21,710.20","312.41B","0.10%"
"19-03-2024","21,817.45","21,946.45","21,978.30","21,793.10","344.16B","-1.08%"
"18-03-2024","22,055.70","21,990.10","22,123.70","21,916.55","356.32B","0.15%"
"15-03-2024","22,023.35","22,064.85","22,120.90","21,931.70","661.46B","-0.56%"
"14-03-2024","22,146.65","21,982.55","22,204.60","21,917.50","426.74B","0.68%"
"13-03-2024","21,997.70","22,432.20","22,446.75","21,905.65","493.34B","-1.51%"
"12-03-2024","22,335.70","22,334.45","22,452.55","22,256.00","299.20B","0.01%"
"11-03-2024","22,332.65","22,517.50","22,526.60","22,307.25","277.90B","-0.72%"
"07-03-2024","22,493.55","22,505.30","22,525.65","22,430.00","379.87B","0.09%"
"06-03-2024","22,474.05","22,327.50","22,497.20","22,224.35","312.26B","0.53%"
"05-03-2024","22,356.30","22,371.25","22,416.90","22,269.15","296.15B","-0.22%"
"04-03-2024","22,405.60","22,403.50","22,440.90","22,358.30","298.79B","0.12%"
"02-03-2024","22,378.40","22,406.95","22,419.55","22,367.05","35.76B","0.18%"
"01-03-2024","22,338.75","22,048.30","22,353.30","22,047.75","351.50B","1.62%"
"29-02-2024","21,982.80","21,935.20","22,060.55","21,860.65","360.17B","0.14%"
"28-02-2024","21,951.15","22,214.10","22,229.15","21,915.85","202.95B","-1.11%"
"27-02-2024","22,198.35","22,090.20","22,218.25","22,085.65","252.20B","0.34%"
"26-02-2024","22,122.05","22,169.20","22,202.15","22,075.15","207.78B","-0.41%"
"23-02-2024","22,212.70","22,290.00","22,297.50","22,186.10","225.98B","-0.02%"
"22-02-2024","22,217.45","22,081.55","22,252.50","21,875.25","343.50B","0.74%"
"21-02-2024","22,055.05","22,248.85","22,249.40","21,997.95","364.55B","-0.64%"
"20-02-2024","22,196.95","22,099.20","22,215.60","22,045.85","295.71B","0.34%"
"19-02-2024","22,122.25","22,103.45","22,186.65","22,021.05","","0.37%"
"16-02-2024","22,040.70","22,020.30","22,068.65","21,968.95","343.89B","0.59%"
"15-02-2024","21,910.75","21,906.55","21,953.85","21,794.80","345.39B","0.32%"
"14-02-2024","21,840.05","21,578.15","21,870.85","21,530.20","359.12B","0.45%"
"13-02-2024","21,743.25","21,664.30","21,766.80","21,543.35","365.79B","0.59%"
"12-02-2024","21,616.05","21,800.80","21,831.70","21,574.75","287.44B","-0.76%"
"09-02-2024","21,782.50","21,727.00","21,804.45","21,629.90","349.22B","0.30%"
"08-02-2024","21,717.95","22,009.65","22,011.05","21,665.30","491.07B","-0.97%"
"07-02-2024","21,930.50","22,045.05","22,053.30","21,860.15","346.26B","0.01%"
"06-02-2024","21,929.40","21,825.20","21,951.40","21,737.55","370.97B","0.72%"
"05-02-2024","21,771.70","21,921.05","21,964.30","21,726.95","440.85B","-0.38%"
"02-02-2024","21,853.80","21,812.75","22,126.80","21,805.55","442.79B","0.72%"
"01-02-2024","21,697.45","21,780.65","21,832.95","21,658.75","332.54B","-0.13%"
"31-01-2024","21,725.70","21,487.25","21,741.35","21,448.85","410.58B","0.95%"
"30-01-2024","21,522.10","21,775.75","21,813.05","21,501.80","375.14B","-0.99%"
"29-01-2024","21,737.60","21,433.10","21,763.25","21,429.60","376.70B","1.80%"
"25-01-2024","21,352.60","21,454.60","21,459.00","21,247.05","418.14B","-0.47%"
"24-01-2024","21,453.95","21,185.25","21,482.35","21,137.20","407.46B","1.01%"
"23-01-2024","21,238.80","21,716.70","21,750.25","21,192.60","449.72B","-1.54%"
"20-01-2024","21,571.80","21,706.15","21,720.30","21,541.80","","-0.23%"
"19-01-2024","21,622.40","21,615.20","21,670.60","21,575.00","343.06B","0.75%"
"18-01-2024","21,462.25","21,414.20","21,539.40","21,285.55","387.34B","-0.51%"
"17-01-2024","21,571.95","21,647.25","21,851.50","21,550.45","456.00B","-2.09%"
"16-01-2024","22,032.30","22,080.50","22,124.15","21,969.80","292.43B","-0.29%"
"15-01-2024","22,097.45","22,053.15","22,115.55","21,963.55","345.54B","0.93%"
"12-01-2024","21,894.55","21,773.55","21,928.25","21,715.15","294.68B","1.14%"
"11-01-2024","21,647.20","21,688.00","21,726.50","21,593.75","212.45B","0.13%"
"10-01-2024","21,618.70","21,529.30","21,641.85","21,448.65","216.99B","0.34%"
"09-01-2024","21,544.85","21,653.60","21,724.45","21,517.85","228.57B","0.15%"
"08-01-2024","21,513.00","21,747.60","21,763.95","21,492.90","231.45B","-0.91%"
"05-01-2024","21,710.80","21,705.75","21,749.60","21,629.20","309.30B","0.24%"
"04-01-2024","21,658.60","21,605.80","21,685.65","21,564.55","339.17B","0.66%"
"03-01-2024","21,517.35","21,661.10","21,677.00","21,500.35","311.93B","-0.69%"
"02-01-2024","21,665.80","21,751.35","21,755.60","21,555.65","263.71B","-0.35%"
"01-01-2024","21,741.90","21,727.75","21,834.35","21,680.85","154.00B","0.05%"
"29-12-2023","21,731.40","21,737.65","21,770.30","21,676.90","270.92B","-0.22%"
"28-12-2023","21,778.70","21,715.00","21,801.45","21,678.00","393.08B","0.57%"
"27-12-2023","21,654.75","21,497.65","21,675.75","21,495.80","256.54B","1.00%"
"26-12-2023","21,441.35","21,365.20","21,477.15","21,329.45","219.47B","0.43%"
"22-12-2023","21,349.40","21,295.85","21,390.50","21,232.45","284.71B","0.44%"
"21-12-2023","21,255.05","21,033.95","21,288.35","20,976.80","277.55B","0.50%"
